Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,home_form_pts,home_goals_for,home_goals_against,home_xg_for,home_xg_against,away_form_pts,away_goals_for,away_goals_against,away_xg_for,away_xg_against,xg_diff,h2h_home_winrate,market_home_prob,market_draw_prob,market_away_prob,season,market_prediction,home_sentiment,away_sentiment
2021-10-23,Chelsea,Norwich,H,7,0,3,0,2.4,2.0,0.4,1.6086635999999999,1.3439260000000002,0.4,0.2,1.2,0.7990714000000001,1.8274549999999998,0.8095921999999998,0.4453947368421053,0.8017715332926084,0.13515577275503968,0.06307269395235185,2122,H,0.0,0.0
2021-10-23,Crystal Palace,Newcastle,D,1,1,0,0,1.2,1.6,1.6,1.3137573999999999,1.25637612,0.4,1.2,2.2,1.1665954,1.5631682000000002,0.1471619999999998,0.4453947368421053,0.49930651872399445,0.2635228848821082,0.23717059639389737,2122,H,0.0,0.0
2021-10-23,Everton,Watford,A,2,5,1,1,1.4,1.2,1.2,1.400396,1.2958338,0.8,0.8,2.0,0.8018867999999999,2.218935,0.5985092000000001,0.4453947368421053,0.5766312594840667,0.25037936267071315,0.17298937784522,2122,H,0.0,0.0
2021-10-23,Leeds,Wolves,D,1,1,0,1,0.8,0.6,1.4,1.0598433999999999,1.9183028,2.4,1.6,1.0,1.5694066,1.1000272,-0.5095632000000001,0.4453947368421053,0.39337257115214064,0.2776747561073934,0.328952672740466,2122,H,0.0,0.0
2021-10-23,Southampton,Burnley,D,2,2,1,1,1.0,0.4,0.8,1.089912,1.4196706,0.4,0.6,1.6,0.9373930000000001,1.5792414,0.15251899999999985,0.4453947368421053,0.48611111111111116,0.2708333333333333,0.24305555555555558,2122,H,0.0,0.0
2021-10-23,Brighton,Man City,A,1,4,0,3,1.8,0.8,0.4,0.9406155999999999,0.9754132,2.2,1.2,0.4,1.7735679999999998,0.7023566000000001,-0.8329523999999999,0.4453947368421053,0.11906893464637423,0.20053715308863027,0.6803939122649956,2122,A,0.0,0.0
2021-10-24,Brentford,Leicester,A,1,2,0,1,1.4,1.4,1.2,1.7840892,1.0378516,1.0,1.8,1.8,1.6450980000000002,1.3698131999999998,0.13899119999999976,0.4453947368421053,0.36175395858708886,0.28721071863581,0.3510353227771011,2122,H,0.0,0.0
2021-10-24,West Ham,Tottenham,H,1,0,0,0,1.4,1.0,1.0,1.5570094,1.187876,1.2,1.2,2.4,1.0190701199999999,1.7290436,0.5379392800000002,0.4453947368421053,0.41257367387033406,0.27111984282907664,0.3163064833005894,2122,H,0.0,0.0
2021-10-24,Man United,Liverpool,A,0,5,0,4,1.4,1.8,1.6,1.7336599999999998,1.6299704000000002,2.2,3.2,1.0,2.8063576,1.1165508000000002,-1.0726976000000004,0.4453947368421053,0.30579150579150577,0.2633204633204633,0.43088803088803085,2122,A,0.0,0.0
2021-10-30,Leicester,Arsenal,A,0,2,0,2,1.6,2.2,1.8,1.685586,1.0532751999999999,2.2,1.8,0.8,1.6301160000000003,0.9548738,0.055469999999999686,0.4453947368421053,0.3965183752417795,0.2718983144515059,0.33158331030671456,2122,H,0.0,0.0
2021-10-30,Burnley,Brentford,H,3,1,3,0,0.6,0.8,1.4,0.70791,1.5036034,1.4,1.6,1.4,1.8717100000000002,1.1807792,-1.1638000000000002,0.4453947368421053,0.3658536585365854,0.2882483370288249,0.34589800443458985,2122,H,0.0,0.0
2021-10-30,Liverpool,Brighton,D,2,2,2,1,2.2,3.6,1.0,2.7355676000000004,1.2572160000000001,1.2,0.8,1.2,1.1169352000000001,1.544208,1.6186324000000003,0.4453947368421053,0.78031212484994,0.14645858343337334,0.07322929171668667,2122,H,0.0,0.0
2021-10-30,Man City,Crystal Palace,A,0,2,0,1,2.2,1.8,0.6,1.938204,0.7762366,0.8,1.2,1.8,1.1861894,1.3852258,0.7520146000000001,0.4453947368421053,0.8316008316008316,0.1185031185031185,0.04989604989604989,2122,H,0.0,0.0
2021-10-30,Newcastle,Chelsea,A,0,3,0,0,0.6,1.2,1.6,1.1865496,1.4596921999999999,2.4,2.8,0.4,1.9853756,1.1627138000000001,-0.798826,0.4453947368421053,0.11173184357541902,0.18994413407821234,0.6983240223463688,2122,A,0.0,0.0
2021-10-30,Watford,Southampton,A,0,1,0,1,1.4,1.8,2.0,1.3854934,2.075269,1.0,0.8,1.2,1.2366190000000001,1.4092281999999998,0.14887439999999996,0.4453947368421053,0.29753038024304196,0.28851430811446493,0.4139553116424932,2122,A,0.0,0.0
2021-10-30,Tottenham,Man United,A,0,3,0,1,1.2,1.2,2.0,1.1379968,1.4972356,0.8,1.0,2.4,1.450176,2.315092,-0.3121791999999999,0.4453947368421053,0.33242551400886,0.2650170070015079,0.4025574789896322,2122,A,0.0,0.0
2021-10-31,Norwich,Leeds,A,1,2,0,0,0.4,0.2,2.4,0.7370988,1.9114429999999998,1.0,0.8,1.0,1.2719666,1.2097115999999999,-0.5348678,0.4453947368421053,0.2785145888594165,0.27055702917771884,0.4509283819628648,2122,A,0.0,0.0
2021-10-31,Aston Villa,West Ham,A,1,4,1,2,1.2,1.6,1.6,1.2095592,2.031347,1.8,1.2,1.0,1.7588639999999998,1.1838886,-0.5493047999999998,0.4453947368421053,0.33980582524271846,0.27184466019417475,0.3883495145631068,2122,A,0.0,0.0
