Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,home_form_pts,home_goals_for,home_goals_against,away_form_pts,away_goals_for,away_goals_against,h2h_home_winrate,market_home_prob,market_draw_prob,market_away_prob,season,market_prediction
2022-09-16,Nott'm Forest,Fulham,A,2,3,1,0,0.8,0.8,2.4,1.4,1.4,1.4,0.33,0.3468667255075022,0.2890556045895852,0.36407766990291257,2223,A
2022-09-17,Wolves,Man City,A,0,3,0,2,1.2,0.4,0.4,2.2,3.6,1.2,0.33,0.09957325746799431,0.1891891891891892,0.7112375533428165,2223,A
2022-09-17,Newcastle,Bournemouth,D,1,1,0,0,0.8,1.0,1.2,0.8,0.6,3.6,0.33,0.6582096696984203,0.215414073719483,0.1263762565820967,2223,H
2022-09-17,Tottenham,Leicester,H,6,2,2,2,2.2,1.6,0.8,0.0,1.2,2.8,0.33,0.6538661131292164,0.21069019200830302,0.13544369486248053,2223,H
2022-09-18,Brentford,Arsenal,A,0,3,0,2,1.6,2.6,1.4,2.4,2.4,1.4,0.33,0.225296442687747,0.24901185770750986,0.5256916996047432,2223,A
2022-09-18,Everton,West Ham,H,1,0,0,0,0.8,0.8,1.0,0.8,0.6,1.2,0.33,0.3276209677419355,0.2923387096774194,0.3800403225806452,2223,A
2022-10-01,Bournemouth,Brentford,D,0,0,0,0,1.0,0.8,3.0,1.0,1.8,2.0,0.33,0.288135593220339,0.2796610169491525,0.43220338983050843,2223,A
2022-10-01,Arsenal,Tottenham,H,3,1,1,1,2.4,2.2,1.0,2.6,2.4,0.8,0.33,0.4612804025719877,0.2521666200726866,0.28655297735532564,2223,H
2022-10-01,Fulham,Newcastle,A,1,4,0,3,1.8,2.0,1.8,0.8,1.2,1.4,0.33,0.3176442762535478,0.28027436140018924,0.40208136234626296,2223,A
2022-10-01,Liverpool,Brighton,D,3,3,1,2,1.6,2.6,0.8,2.0,1.8,0.8,0.33,0.7093184979137691,0.17969401947148816,0.1109874826147427,2223,H
2022-10-01,Crystal Palace,Chelsea,A,1,2,1,1,1.2,1.4,1.4,1.4,1.4,1.8,0.33,0.2253807106598985,0.2629441624365483,0.5116751269035533,2223,A
2022-10-01,West Ham,Wolves,H,2,0,1,0,0.8,0.6,1.2,1.0,0.4,1.0,0.33,0.49469964664310956,0.27561837455830385,0.22968197879858654,2223,H
2022-10-01,Southampton,Everton,A,1,2,0,0,1.2,0.8,1.0,1.4,0.8,0.6,0.33,0.44155844155844154,0.2792207792207792,0.2792207792207792,2223,H
2022-10-02,Man City,Man United,H,6,3,4,0,2.2,3.4,1.2,2.4,1.4,1.2,0.33,0.7099057574385776,0.16420428824231448,0.12588995431910777,2223,H
2022-10-02,Leeds,Aston Villa,D,0,0,0,0,1.0,1.6,1.8,0.8,0.8,1.4,0.33,0.4041204437400951,0.2793185419968304,0.3165610142630745,2223,H
